track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_electronic_prob,predicted_pop_prob,predicted_rnb_prob
6QBZlIxCB2lAPU2bM1ut1p,Dynamite - Instrumental,3Nrfpe0tUJi4K4DXYWgMUX,BTS,3zWmE5c3alhuoPLphxjMVd,198770,2020-08-21,29,0.861,0.6579999999999999,11,0.7076356192425792,1,0.05,0.00903,0.8029999999999999,0.0443,0.625,0.3779765933619661,0,electronic,0.98,1.0,0.0,0.0
1HZ5LJMCzClg2pdomCnEPw,Dynamite - EDM Remix,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2UX7xCHxzTLKuEom7VdwMJ,198939,2020-08-24,23,0.7070000000000001,0.838,1,0.7990992835209825,0,0.0599,0.0019,0.444,0.0961,0.318,0.43326277704623484,0,electronic,0.96,0.9642857142857143,0.03571428571428571,0.0
5raJ9QoZOdoRZ1MZOcygkR,INTRO : Calling,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1nScVw87kRJiT2bg2Kswhp,84613,2020-07-14,58,0.486,0.61,10,0.49895598771750255,1,0.0348,0.5820000000000001,0.7909999999999999,0.14400000000000002,0.0806,0.5686754697941152,0,electronic,0.96,0.9642857142857143,0.0,0.03571428571428571
0usLRFLmYXYahKNgXxsuJc,Trivia 起 : Just Dance,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2lATw9ZAVp7ILQcOKPCPqp,225220,2018-08-24,68,0.723,0.9059999999999999,1,0.7972159672466734,0,0.27899999999999997,0.0907,0.0,0.0771,0.39799999999999996,0.44577831378678046,0,electronic,0.82,0.8214285714285714,0.17857142857142858,0.0
2JZPlXE8c0oLZoCsqFFmgo,Dynamite - Poolside Remix,3Nrfpe0tUJi4K4DXYWgMUX,BTS,6K4chJALBBMYmXjwgvqahx,182591,2020-08-28,60,0.6859999999999999,0.877,1,0.7941044012282497,0,0.14300000000000002,0.0089,0.000869,0.20800000000000002,0.406,0.438954454275834,0,electronic,0.78,0.7857142857142857,0.21428571428571427,0.0
7iV733e1KacKrFRaBNxVEf,Intro: Serendipity,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2FTS6a6DLXMNp8flyA0HGO,139971,2017-09-18,72,0.47600000000000003,0.581,8,0.6327533265097236,1,0.12,0.523,0.0,0.201,0.282,0.47376905942726333,1,pop,0.74,0.0,0.8571428571428571,0.14285714285714285
5EgYDyMDCi8X0zDydTF7Rb,Heartbeat (BTS World Original Soundtrack),3Nrfpe0tUJi4K4DXYWgMUX,BTS,3LgNJmZ4QPkSvdt9JB8Tb8,253303,2019-06-28,71,0.43700000000000006,0.716,5,0.8165404298874104,1,0.05,0.39,0.0,0.20800000000000002,0.307,0.7231322068940058,1,pop,0.74,0.10714285714285714,0.7857142857142857,0.10714285714285714
2AIWoHr9DF6y4KALCBKWQS,IDOL,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2lATw9ZAVp7ILQcOKPCPqp,222732,2018-08-24,78,0.7340000000000001,0.855,9,0.8613715455475945,1,0.11800000000000001,0.00481,0.0,0.12300000000000001,0.42200000000000004,0.45202992899248085,0,electronic,0.72,0.7857142857142857,0.21428571428571427,0.0
0n2moJpAEWHwaPYYjkzMDl,Blue & Grey,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2qehskW9lYGWfYb0xPZkrS,254950,2020-11-20,87,0.547,0.605,8,0.7162743091095188,1,0.0415,0.42,0.0,0.125,0.364,0.42691271120737384,1,pop,0.72,0.17857142857142858,0.6428571428571429,0.17857142857142858
03iCbZaM4OkRR4We6wIzvx,IDOL,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2lATw9ZAVp7ILQcOKPCPqp,260233,2018-08-24,71,0.7090000000000001,0.857,9,0.8538792221084953,1,0.0881,0.0021899999999999997,0.0,0.10300000000000001,0.446,0.45204838848619844,0,electronic,0.7,0.7857142857142857,0.21428571428571427,0.0
7L8hkKW4hnemNfuOfEZcle,Epiphany,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2lATw9ZAVp7ILQcOKPCPqp,240361,2018-08-24,76,0.509,0.5579999999999999,2,0.7320777891504605,0,0.0276,0.29,0.0,0.131,0.327,0.5126016810445612,1,pop,0.7,0.07142857142857142,0.7142857142857143,0.21428571428571427
3TDUktzfYXMWjkWqwoT5F1,Lights,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1nScVw87kRJiT2bg2Kswhp,292853,2020-07-14,73,0.608,0.644,5,0.7640532241555782,1,0.0314,0.156,0.0,0.124,0.431,0.2857098905967339,1,pop,0.7,0.10714285714285714,0.7142857142857143,0.17857142857142858
48XfojJC87VKLlUotYV0Gm,The Truth Untold,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2jJfnAZE6IG3oYnUv2eCj4,242292,2018-05-18,73,0.57,0.42200000000000004,1,0.6832753326509723,0,0.0422,0.37200000000000005,0.0,0.127,0.16899999999999998,0.37186650094143425,1,pop,0.7,0.07142857142857142,0.6785714285714286,0.25
30mCoJIAVtCfEy7VJ3DG5q,Dynamite - Midnight Remix,3Nrfpe0tUJi4K4DXYWgMUX,BTS,3qIVLJciUAM589Lb5aPEYn,196509,2020-09-18,58,0.782,0.795,4,0.8222313203684748,1,0.122,0.0689,0.0,0.109,0.402,0.37819810728657755,0,electronic,0.7,0.7142857142857143,0.25,0.03571428571428571
44vXWYTcdrejrIQZEoHzl8,Lights,3Nrfpe0tUJi4K4DXYWgMUX,BTS,0rHMQLHyw0Bt17fRTJEqh6,292773,2019-07-03,70,0.625,0.6629999999999999,5,0.7834186284544523,1,0.0302,0.11199999999999999,0.0,0.105,0.39799999999999996,0.2856668184447261,1,pop,0.68,0.14285714285714285,0.6785714285714286,0.17857142857142858
4CvId64YZSB0RfRdfzPIQU,So What,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2jJfnAZE6IG3oYnUv2eCj4,281520,2018-05-18,72,0.6559999999999999,0.883,9,0.8170317297850562,0,0.0737,0.0238,0.0,0.0481,0.46,0.476101108800256,0,electronic,0.68,0.6785714285714286,0.32142857142857145,0.0
