track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_electronic_prob,predicted_pop_prob,predicted_rnb_prob
7K6eh0AbHofKGzQ0qr4iUN,Makapiling Ka,1tXFYQZSAswt4JLB42lpye,Sponge Cola,2yCy36hxBEoYLtzZXmytFk,246880,2009,47,0.5379999999999999,0.423,11,0.6273059360730594,1,0.0732,0.348,0.0,0.0731,0.505,0.758486621540658,7K6eh0AbHofKGzQ0qr4iUN,7K6eh0AbHofKGzQ0qr4iUN,1,pop,0.52,0.32142857142857145,0.5714285714285714,0.10714285714285714
3jNOOgydK9kUgL7aAGZdtS,The Ordertaker,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,0SudJuJEQweUzqF3hzeRGx,245386,2005,43,0.47,0.912,4,0.8755251141552511,0,0.134,0.0363,6e-06,0.0583,0.373,0.40991369969533564,3jNOOgydK9kUgL7aAGZdtS,3jNOOgydK9kUgL7aAGZdtS,0,electronic,0.52,0.75,0.21428571428571427,0.03571428571428571
08eYShSkHPjOm2zBiZnTtA,Mang Jose,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,0SudJuJEQweUzqF3hzeRGx,246960,2005,43,0.502,0.925,4,0.8329680365296804,0,0.048,0.163,3.05e-05,0.0814,0.555,0.3103114204494756,08eYShSkHPjOm2zBiZnTtA,08eYShSkHPjOm2zBiZnTtA,1,pop,0.52,0.6071428571428571,0.35714285714285715,0.03571428571428571
3GaY5d0q8jnzfKm3fhNsSc,Gusto Kita,7zpGGtamV7jBkMIub59TRO,Mark Bautista,6RmpytxM9obPlpMKTwOHcZ,271040,2010-10-16,0,0.643,0.56,2,0.6453424657534247,1,0.0391,0.7609999999999999,0.00161,0.106,0.5479999999999999,0.14885846495085858,3GaY5d0q8jnzfKm3fhNsSc,3GaY5d0q8jnzfKm3fhNsSc,1,pop,0.52,0.17857142857142858,0.39285714285714285,0.42857142857142855
1HScNctvxwyALFTRQvMQZM,Inuman Na,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,58vdgBfvgzQFZ2VreSPGmU,244800,1999,48,0.632,0.321,7,0.531187214611872,1,0.0313,0.737,0.0,0.5710000000000001,0.659,0.2890231621349446,1HScNctvxwyALFTRQvMQZM,1HScNctvxwyALFTRQvMQZM,2,rnb,0.52,0.5714285714285714,0.39285714285714285,0.03571428571428571
0lFg839EI4BxdFs9wKIVmf,Probinsyana,0c7d9V8rjfT6tzojfBfRf5,Bamboo,3kdYoCrhB4HN3HM4d0uzhC,205453,2007,39,0.6459999999999999,0.946,7,0.8485388127853881,1,0.0572,0.0149,0.000164,0.39799999999999996,0.5760000000000001,0.39158922584675004,0lFg839EI4BxdFs9wKIVmf,0lFg839EI4BxdFs9wKIVmf,0,electronic,0.52,0.35714285714285715,0.5357142857142857,0.10714285714285714
1mAy2SZrv3fTqGpJCnkTwM,Truth,0c7d9V8rjfT6tzojfBfRf5,Bamboo,6rOq3avTNJ9aRaW1bmAlLN,262478,2006,47,0.63,0.703,10,0.7574885844748859,1,0.263,0.36700000000000005,2.29e-06,0.07,0.5720000000000001,0.8256466149119788,1mAy2SZrv3fTqGpJCnkTwM,1mAy2SZrv3fTqGpJCnkTwM,2,rnb,0.52,0.5357142857142857,0.35714285714285715,0.10714285714285714
0TmrxOGhNzxkcNkvcDRESe,Sandali Na Lang,6Ww3OMFzCaO33ulKh1LBFN,Hale,2aTG7rVHqmsIOKBggD0g7m,218013,2012,30,0.605,0.679,7,0.7416438356164383,1,0.0266,0.0154,0.00465,0.325,0.491,0.40774025775364253,0TmrxOGhNzxkcNkvcDRESe,0TmrxOGhNzxkcNkvcDRESe,0,electronic,0.52,0.39285714285714285,0.5,0.10714285714285714
6o50wKNDKF4iQ01Rx2cuN4,Sunday Driving,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,253893,2010-05-18,0,0.6970000000000001,0.657,9,0.6806392694063927,1,0.027999999999999997,0.5870000000000001,0.000644,0.10400000000000001,0.565,0.4204048593317782,6o50wKNDKF4iQ01Rx2cuN4,6o50wKNDKF4iQ01Rx2cuN4,1,pop,0.52,0.17857142857142858,0.35714285714285715,0.4642857142857143
0sCevY46W9XrGX4F85YNGp,Picture Picture,6ZwnyHAtqKLBYwRhZePddV,Tanya Markova,5W8915sY0hhnp2mzP2g7g8,242440,2010-01-01,0,0.665,0.72,2,0.8605479452054794,1,0.0297,0.0147,2.56e-06,0.37,0.591,0.49423814804900124,0sCevY46W9XrGX4F85YNGp,0sCevY46W9XrGX4F85YNGp,0,electronic,0.52,0.39285714285714285,0.5,0.10714285714285714
1jRUUq9FroLzFGA583WE9u,Dahil Sayo,021sXp6RH5MQCCp2hmal6q,Jom,35wfOMotxRtTrCEgVyBLwg,244138,2020-02-23,45,0.485,0.389,6,0.6094977168949771,1,0.0301,0.302,0.0,0.111,0.26899999999999996,0.5351957372493532,1jRUUq9FroLzFGA583WE9u,1jRUUq9FroLzFGA583WE9u,1,pop,0.52,0.0,0.7857142857142857,0.21428571428571427
1YGQA0j36Si4T3zNi2j1ZH,Flower,4iTjZE8ZsHOHvkCqzZ9vcD,Honcho,0vPtyarPx6omm1w4DkWdvk,216990,2020-03-02,35,0.657,0.534,8,0.7972146118721462,1,0.0344,0.452,0.0,0.0889,0.495,0.13999260647316025,1YGQA0j36Si4T3zNi2j1ZH,1YGQA0j36Si4T3zNi2j1ZH,1,pop,0.52,0.14285714285714285,0.32142857142857145,0.5357142857142857
5en0gvJmw9GeS9Xv4rnZ7U,Heart React,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,3blIO4usvS40P4seWTQLty,311038,2020-01-24,45,0.631,0.621,10,0.6789954337899544,1,0.15,0.381,4.54e-06,0.0839,0.499,0.5073361632694686,5en0gvJmw9GeS9Xv4rnZ7U,5en0gvJmw9GeS9Xv4rnZ7U,1,pop,0.52,0.07142857142857142,0.5357142857142857,0.39285714285714285
6ND4moqxMDIu8kHBvBJT2H,Penge Naman Ako N'yan,5cYJYBMg1n71v7cvthr1SO,The Itchyworms,0AVsHyk0UfZO65pzOUegLP,230253,2008-07-21,43,0.58,0.8109999999999999,4,0.8666666666666667,1,0.0982,0.00446,0.0,0.35100000000000003,0.877,0.5413081443522377,6ND4moqxMDIu8kHBvBJT2H,6ND4moqxMDIu8kHBvBJT2H,1,pop,0.52,0.21428571428571427,0.7142857142857143,0.07142857142857142
5ge4INhHxTf4ZSvmDHFTwH,Sinungaling,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,50prgOW7Rkfox7CJ4C7lRb,188333,2008-07-02,0,0.395,0.9329999999999999,8,0.8957534246575343,1,0.0417,0.0185,0.0,0.301,0.76,0.651280482363889,5ge4INhHxTf4ZSvmDHFTwH,5ge4INhHxTf4ZSvmDHFTwH,1,pop,0.52,0.5,0.4642857142857143,0.03571428571428571
3xLIXUc3y3GzBim3SZq3je,'Di Na Bale,52SxjzDxnqZZ7Sm5XQCB8x,Bryant,78uXRLmlzzDhKiXrZXwZat,243642,2020-01-10,38,0.659,0.478,9,0.6571232876712328,1,0.0481,0.256,0.0,0.0707,0.371,0.5027725725649164,3xLIXUc3y3GzBim3SZq3je,3xLIXUc3y3GzBim3SZq3je,1,pop,0.52,0.03571428571428571,0.35714285714285715,0.6071428571428571
66UU8IaRzp1t9O4vekYIgT,Tayo Na Lang Dalawa (Acoustic Version),7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,2MRNpsOAn802XljVg6AFRa,190485,2015-06-12,34,0.657,0.617,11,0.9363013698630137,1,0.0291,0.612,2.35e-05,0.215,0.41600000000000004,0.28025928333779504,66UU8IaRzp1t9O4vekYIgT,66UU8IaRzp1t9O4vekYIgT,1,pop,0.52,0.32142857142857145,0.32142857142857145,0.35714285714285715
4jq5J39hJ28RmDhNp1QkYk,Antukin,6l880dxsvN2x5wiceaG6D0,Rico Blanco,2IlKvs2GxtFMFEIIunQCXU,289226,2008-05-15,55,0.634,0.624,2,0.7937899543378996,0,0.0299,0.168,0.0,0.38,0.7240000000000001,0.17190587275485353,4jq5J39hJ28RmDhNp1QkYk,4jq5J39hJ28RmDhNp1QkYk,1,pop,0.52,0.2857142857142857,0.5,0.21428571428571427
6AfbCoGCzurN5XZq9Cs31N,Yakap Sa Dilim,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,36zJTya3TD3IX06lWmQIrF,188040,2012,37,0.645,0.723,5,0.9492237442922374,1,0.027000000000000003,0.10300000000000001,0.0,0.113,0.588,0.4013792751794205,6AfbCoGCzurN5XZq9Cs31N,6AfbCoGCzurN5XZq9Cs31N,1,pop,0.52,0.2857142857142857,0.2857142857142857,0.42857142857142855
468iB1VWvEy9ln8M9zdde6,Tayo Na Lang Dalawa,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,4V1wdlWzWsSPbgXrgipsPS,185066,2014-04-20,53,0.52,0.9690000000000001,1,0.9082191780821918,1,0.0331,4.47e-05,0.00232,0.157,0.63,0.29667801190612775,468iB1VWvEy9ln8M9zdde6,468iB1VWvEy9ln8M9zdde6,1,pop,0.52,0.10714285714285714,0.35714285714285715,0.5357142857142857
4YUuEfldgTf3v9Kun7wgff,"Umaaraw, Umuulan",1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,420386,2010-05-18,0,0.56,0.845,9,0.794337899543379,1,0.0319,0.0142,0.00024700000000000004,0.248,0.648,0.5319451349318648,4YUuEfldgTf3v9Kun7wgff,4YUuEfldgTf3v9Kun7wgff,0,electronic,0.52,0.10714285714285714,0.32142857142857145,0.5714285714285714
1OBYSIL7In6WWkgtLS1rnx,Lalake,7JJ3NfHRSDv3d6IBBGxtMH,Hagibis,4ChhVUHMxacGFpuwEH32eB,265720,2012-05-16,0,0.6940000000000001,0.7170000000000001,0,0.6808219178082191,1,0.0314,0.12300000000000001,5.98e-06,0.156,0.664,0.5211097938735707,1OBYSIL7In6WWkgtLS1rnx,1OBYSIL7In6WWkgtLS1rnx,0,electronic,0.52,0.0,0.6428571428571429,0.35714285714285715
4kHYNug84HGEdCIRppp7To,Ikot,4dlsoFRsNu2hApC2vQSx7b,Oktaves,03hCJRTza8J1LlWR19wSVM,261266,2012-01-01,27,0.441,0.439,5,0.6302739726027398,1,0.0311,0.5539999999999999,0.000225,0.11199999999999999,0.672,0.1406172320165207,4kHYNug84HGEdCIRppp7To,4kHYNug84HGEdCIRppp7To,2,rnb,0.52,0.42857142857142855,0.5357142857142857,0.03571428571428571
3YiTrKWNORIL0dZe0v2F92,Hard To Believe,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,214000,2004-01-23,36,0.49200000000000005,0.434,1,0.5606849315068494,0,0.0274,0.335,1.28e-06,0.31,0.155,0.19321962598952158,3YiTrKWNORIL0dZe0v2F92,3YiTrKWNORIL0dZe0v2F92,1,pop,0.52,0.5,0.42857142857142855,0.07142857142857142
3MtBarbRZxBKodeWEP3V9g,Don't Dream It's Over,5elcNQkZ6FCZA3grSOMngY,MYMP,2bLoVowyZNosgVxjwylK4m,233325,2011,37,0.614,0.33899999999999997,5,0.6764840182648402,1,0.0398,0.762,0.0,0.127,0.69,0.17551340395426218,3MtBarbRZxBKodeWEP3V9g,3MtBarbRZxBKodeWEP3V9g,1,pop,0.52,0.21428571428571427,0.2857142857142857,0.5
3DAPADueDROvd7uCN3kkOi,Sampip,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,29tJR2oXdGAFHMQkcgPUmn,246706,1997,40,0.40299999999999997,0.5760000000000001,7,0.5717808219178082,1,0.0286,0.573,0.000395,0.0654,0.597,0.25739671370479433,3DAPADueDROvd7uCN3kkOi,3DAPADueDROvd7uCN3kkOi,2,rnb,0.52,0.21428571428571427,0.5357142857142857,0.25
2jKpbNu2UuhRSvEjpBEpxP,Sandali Na Lang,6Ww3OMFzCaO33ulKh1LBFN,Hale,3iJ889qoTHVjt3CyqQPflh,220280,2008,39,0.608,0.743,7,0.8680821917808219,1,0.0268,0.0151,0.00235,0.166,0.445,0.40765102553316257,2jKpbNu2UuhRSvEjpBEpxP,2jKpbNu2UuhRSvEjpBEpxP,1,pop,0.52,0.5714285714285714,0.25,0.17857142857142858
5iNGxZ1waiyMFylg4QAHk6,Same Ground,4OjU5UP0GFWeniBC82sGBY,Kitchie Nadal,7beVKW0o7iRoM0eRT3kGfk,267680,2004-01-01,56,0.616,0.525,2,0.5874885844748858,1,0.0269,0.308,3.58e-06,0.161,0.456,0.6682091093349651,5iNGxZ1waiyMFylg4QAHk6,5iNGxZ1waiyMFylg4QAHk6,1,pop,0.52,0.17857142857142858,0.6428571428571429,0.17857142857142858
